Country,Year,Arable land (% of total land area),Arable land (thousand hectares),Forest cover (% of total land area),Forest cover (thousand hectares),Important sites for terrestrial biodiversity protected (% of total sites protected),Land area (thousand hectares),Permanent crops (% of total land area),Permanent crops (thousand hectares)
Afghanistan,2005,11.9551,7805.0,2.0678,1350.0,0.0,65286.0,0.1608,105.0
Afghanistan,2010,11.9367,7793.0,2.0678,1350.0,5.7403,65286.0,0.1807,118.0
Afghanistan,2017,11.7927,7699.0,2.0678,1350.0,5.7403,65286.0,0.3232,211.0
Afghanistan,2019,,,,,5.7403,,,
Africa,2005,7.2737,215650.92,22.0816,654678.904,,2964822.5,1.0407,30853.5
Africa,2010,7.6144,225758.7,21.528,638282.158,,2964893.5,1.1303,33511.3
Africa,2017,8.1172,240668.0071,21.0496,624102.627,,2964920.5,1.1914,35323.599
Albania,2005,19.635,538.0,28.5547,782.4,31.7073,2740.0,4.4161,121.0
Albania,2010,22.8467,626.0,28.3321,776.3,47.2193,2740.0,2.5547,70.0
Albania,2017,22.1496,606.9,28.1569,771.5,55.9444,2740.0,3.073,84.2
Albania,2019,,,,,57.1756,,,
Algeria,2005,3.1536,7511.0,0.6449,1536.0,16.6339,238174.0,0.3577,852.0
Algeria,2010,3.1498,7502.0,0.8053,1918.0,16.6339,238174.0,0.3817,909.0
Algeria,2017,3.1367,7470.8071,0.8212,1956.0,16.6339,238174.0,0.4252,1012.619
Algeria,2019,,,,,16.6339,,,
American Samoa,2005,16.5,3.3,89.405,17.881,71.1211,20.0,8.5,1.7
American Samoa,2010,15.0,3.0,88.56,17.712,71.1211,20.0,9.5,1.9
American Samoa,2017,15.0,3.0,87.715,17.543,71.1211,20.0,9.5,1.9
American Samoa,2019,,,,,71.1211,,,
Americas,2005,8.8575,342591.07,41.7953,1616563.826,,3867814.6,0.6911,26731.23
Americas,2010,8.7683,339016.37,41.4449,1602411.787,,3866367.6,0.6828,26398.0
Americas,2017,8.9707,346816.79,41.1955,1592663.342,,3866107.6,0.6534,25260.24
Andorra,2005,1.7021,0.8,34.0426,16.0,17.8898,47.0,,
Andorra,2010,1.6383,0.77,34.0426,16.0,17.8898,47.0,,
Andorra,2017,1.7447,0.82,34.0426,16.0,26.0846,47.0,,
Andorra,2019,,,,,26.0846,,,
Angola,2005,2.647,3300.0,47.4084,59104.0,28.054,124670.0,0.2326,290.0
Angola,2010,3.2887,4100.0,46.9078,58480.0,28.054,124670.0,0.2326,290.0
Angola,2017,3.9304,4900.0,46.4073,57856.0,28.054,124670.0,0.2527,315.0
Angola,2019,,,,,28.054,,,
Anguilla,2005,,,61.1111,5.5,6.6703,9.0,,
Anguilla,2010,,,61.1111,5.5,6.6703,9.0,,
Anguilla,2017,,,61.1111,5.5,6.6703,9.0,,
Anguilla,2019,,,,,6.7669,,,
Antigua and Barbuda,2005,9.0909,4.0,22.2727,9.8,8.2192,44.0,2.2727,1.0
Antigua and Barbuda,2010,9.0909,4.0,22.2727,9.8,8.2192,44.0,2.2727,1.0
Antigua and Barbuda,2017,9.0909,4.0,22.2727,9.8,8.2192,44.0,2.2727,1.0
Antigua and Barbuda,2019,,,,,8.2192,,,
Argentina,2005,12.0209,32897.5,11.0301,30186.0,27.2073,273669.0,0.3654,1000.0
Argentina,2010,13.8784,37981.0,10.4491,28596.0,29.4635,273669.0,0.3654,1000.0
Argentina,2017,14.3239,39200.0,9.9069,27112.0,31.0825,273669.0,0.3654,1000.0
Argentina,2019,,,,,31.799,,,
