Country,Year,Threatened Species: Invertebrates (number),Threatened Species: Plants (number),Threatened Species: Total (number),Threatened Species: Vertebrates (number)
Afghanistan,2004,1.0,1.0,33.0,31.0
Afghanistan,2010,1.0,2.0,34.0,31.0
Afghanistan,2016,2.0,5.0,42.0,35.0
Afghanistan,2017,2.0,5.0,42.0,35.0
Afghanistan,2018,2.0,5.0,41.0,34.0
Afghanistan,2019,2.0,5.0,40.0,33.0
Afghanistan,2020,2.0,5.0,40.0,33.0
Albania,2004,4.0,0.0,37.0,33.0
Albania,2010,47.0,0.0,100.0,53.0
Albania,2016,62.0,0.0,125.0,63.0
Albania,2017,68.0,0.0,130.0,62.0
Albania,2018,71.0,4.0,137.0,62.0
Albania,2019,71.0,5.0,137.0,61.0
Albania,2020,73.0,5.0,142.0,64.0
Algeria,2004,12.0,2.0,50.0,36.0
Algeria,2010,21.0,15.0,105.0,69.0
Algeria,2016,29.0,18.0,125.0,78.0
Algeria,2017,38.0,18.0,135.0,79.0
Algeria,2018,40.0,23.0,143.0,80.0
Algeria,2019,40.0,24.0,145.0,81.0
Algeria,2020,42.0,28.0,155.0,85.0
American Samoa,2004,5.0,1.0,24.0,18.0
American Samoa,2010,57.0,1.0,79.0,21.0
American Samoa,2016,64.0,1.0,92.0,27.0
American Samoa,2017,64.0,1.0,92.0,27.0
American Samoa,2018,64.0,1.0,92.0,27.0
American Samoa,2019,65.0,1.0,95.0,29.0
American Samoa,2020,65.0,2.0,99.0,32.0
Andorra,2004,4.0,0.0,5.0,1.0
Andorra,2010,4.0,0.0,8.0,4.0
Andorra,2016,7.0,0.0,12.0,5.0
Andorra,2017,8.0,0.0,13.0,5.0
Andorra,2018,8.0,0.0,14.0,6.0
Andorra,2019,8.0,1.0,15.0,6.0
Andorra,2020,8.0,1.0,15.0,6.0
Angola,2004,6.0,26.0,76.0,44.0
Angola,2010,7.0,33.0,117.0,77.0
Angola,2016,9.0,34.0,142.0,99.0
Angola,2017,9.0,34.0,146.0,103.0
Angola,2018,11.0,35.0,154.0,108.0
Angola,2019,11.0,36.0,158.0,111.0
Angola,2020,11.0,43.0,171.0,117.0
Anguilla,2004,0.0,3.0,18.0,15.0
Anguilla,2010,10.0,3.0,33.0,20.0
Anguilla,2016,10.0,4.0,52.0,38.0
Anguilla,2017,10.0,4.0,52.0,38.0
Anguilla,2018,10.0,4.0,54.0,40.0
Anguilla,2019,10.0,4.0,57.0,43.0
Anguilla,2020,10.0,3.0,60.0,47.0
Antarctica,2004,0.0,0.0,8.0,8.0
Antarctica,2010,0.0,0.0,6.0,6.0
Antarctica,2016,0.0,0.0,6.0,6.0
Antarctica,2017,0.0,0.0,6.0,6.0
Antarctica,2018,0.0,0.0,6.0,6.0
Antarctica,2019,0.0,0.0,6.0,6.0
Antarctica,2020,0.0,0.0,6.0,6.0
Antigua and Barbuda,2004,0.0,4.0,22.0,18.0
Antigua and Barbuda,2010,11.0,4.0,38.0,23.0
Antigua and Barbuda,2016,11.0,4.0,53.0,38.0
Antigua and Barbuda,2017,11.0,4.0,55.0,40.0
Antigua and Barbuda,2018,11.0,4.0,56.0,41.0
Antigua and Barbuda,2019,11.0,4.0,59.0,44.0
Antigua and Barbuda,2020,11.0,3.0,61.0,47.0
Areas n.e.s,2004,0.0,0.0,1.0,1.0
Areas n.e.s,2010,0.0,0.0,1.0,1.0
Areas n.e.s,2016,1.0,0.0,4.0,3.0
Areas n.e.s,2017,1.0,0.0,4.0,3.0
Areas n.e.s,2018,1.0,0.0,6.0,5.0
Areas n.e.s,2019,1.0,,8.0,7.0
Argentina,2004,10.0,42.0,186.0,134.0
Argentina,2010,12.0,44.0,213.0,157.0
Argentina,2016,14.0,70.0,256.0,172.0
Argentina,2017,14.0,70.0,256.0,172.0
Argentina,2018,14.0,70.0,270.0,186.0
Argentina,2019,14.0,75.0,279.0,190.0
Argentina,2020,15.0,76.0,285.0,194.0
Armenia,2004,7.0,1.0,35.0,27.0
Armenia,2010,6.0,1.0,36.0,29.0
Armenia,2016,9.0,71.0,114.0,34.0
Armenia,2017,9.0,71.0,114.0,34.0
Armenia,2018,9.0,73.0,115.0,33.0
Armenia,2019,9.0,76.0,119.0,34.0
Armenia,2020,9.0,76.0,119.0,34.0
Aruba,2004,1.0,0.0,18.0,17.0
Aruba,2010,1.0,1.0,22.0,20.0
Aruba,2016,2.0,2.0,32.0,28.0
Aruba,2017,2.0,2.0,32.0,28.0
Aruba,2018,2.0,2.0,32.0,28.0
Aruba,2019,2.0,3.0,38.0,33.0
Aruba,2020,2.0,5.0,44.0,37.0
Australia,2004,283.0,56.0,621.0,282.0
Australia,2010,489.0,67.0,853.0,297.0
Australia,2016,514.0,93.0,926.0,319.0
Australia,2017,531.0,94.0,948.0,323.0
Australia,2018,534.0,106.0,998.0,358.0
Australia,2019,545.0,108.0,1016.0,363.0
Australia,2020,548.0,327.0,1308.0,433.0
Austria,2004,44.0,3.0,67.0,20.0
Austria,2010,55.0,4.0,82.0,23.0
Austria,2016,69.0,21.0,117.0,27.0
Austria,2017,71.0,21.0,118.0,26.0
Austria,2018,74.0,25.0,127.0,28.0
Austria,2019,74.0,68.0,170.0,28.0
Austria,2020,74.0,83.0,185.0,28.0
Azerbaijan,2004,6.0,0.0,38.0,32.0
Azerbaijan,2010,4.0,0.0,45.0,41.0
Azerbaijan,2016,7.0,42.0,96.0,47.0
Azerbaijan,2017,7.0,42.0,97.0,48.0
Azerbaijan,2018,7.0,43.0,97.0,47.0
Azerbaijan,2019,7.0,45.0,101.0,49.0
Azerbaijan,2020,7.0,46.0,102.0,49.0
Bahamas,2004,1.0,5.0,42.0,36.0
Bahamas,2010,11.0,7.0,62.0,44.0
Bahamas,2016,12.0,8.0,85.0,65.0
Bahamas,2017,12.0,8.0,86.0,66.0
Bahamas,2018,12.0,7.0,90.0,71.0
Bahamas,2019,12.0,12.0,95.0,71.0
Bahamas,2020,12.0,12.0,96.0,72.0
Bahrain,2004,0.0,0.0,18.0,18.0
Bahrain,2010,13.0,0.0,32.0,19.0
Bahrain,2016,13.0,0.0,36.0,23.0
Bahrain,2017,13.0,0.0,36.0,23.0
Bahrain,2018,13.0,0.0,40.0,27.0
Bahrain,2019,13.0,0.0,46.0,33.0
Bahrain,2020,13.0,0.0,47.0,34.0
Bangladesh,2004,0.0,12.0,85.0,73.0
Bangladesh,2010,2.0,16.0,122.0,104.0
Bangladesh,2016,7.0,21.0,148.0,120.0
Bangladesh,2017,7.0,21.0,151.0,123.0
Bangladesh,2018,7.0,22.0,154.0,125.0
Bangladesh,2019,7.0,23.0,158.0,128.0
Bangladesh,2020,7.0,25.0,165.0,133.0
Barbados,2004,0.0,2.0,20.0,18.0
Barbados,2010,10.0,2.0,36.0,24.0
Barbados,2016,11.0,3.0,53.0,39.0
Barbados,2017,11.0,3.0,56.0,42.0
Barbados,2018,11.0,3.0,57.0,43.0
Barbados,2019,11.0,3.0,58.0,44.0
Barbados,2020,11.0,3.0,62.0,48.0
Belarus,2004,8.0,0.0,18.0,10.0
Belarus,2010,6.0,0.0,16.0,10.0
Belarus,2016,9.0,1.0,24.0,14.0
Belarus,2017,9.0,1.0,25.0,15.0
Belarus,2018,10.0,1.0,26.0,15.0
Belarus,2019,10.0,3.0,28.0,15.0
Belarus,2020,10.0,5.0,30.0,15.0
Belgium,2004,11.0,0.0,36.0,25.0
Belgium,2010,11.0,1.0,27.0,15.0
Belgium,2016,14.0,1.0,38.0,23.0
Belgium,2017,14.0,1.0,37.0,22.0
Belgium,2018,15.0,1.0,39.0,23.0
Belgium,2019,15.0,17.0,55.0,23.0
Belgium,2020,15.0,26.0,66.0,25.0
Belize,2004,1.0,30.0,67.0,36.0
Belize,2010,12.0,32.0,92.0,48.0
Belize,2016,12.0,36.0,118.0,70.0
Belize,2017,12.0,36.0,117.0,69.0
Belize,2018,12.0,43.0,124.0,69.0
Belize,2019,12.0,46.0,131.0,73.0
Belize,2020,12.0,53.0,143.0,78.0
Benin,2004,0.0,14.0,31.0,17.0
Benin,2010,1.0,14.0,62.0,47.0
Benin,2016,3.0,17.0,86.0,66.0
Benin,2017,3.0,17.0,88.0,68.0
Benin,2018,3.0,19.0,92.0,70.0
Benin,2019,3.0,21.0,101.0,77.0
Benin,2020,3.0,21.0,106.0,82.0
Bermuda,2004,25.0,4.0,47.0,18.0
Bermuda,2010,28.0,4.0,50.0,18.0
Bermuda,2016,28.0,8.0,71.0,35.0
Bermuda,2017,28.0,8.0,72.0,36.0
Bermuda,2018,28.0,8.0,72.0,36.0
Bermuda,2019,28.0,8.0,75.0,39.0
Bermuda,2020,30.0,8.0,80.0,42.0
Bhutan,2004,1.0,7.0,48.0,40.0
Bhutan,2010,1.0,8.0,59.0,50.0
Bhutan,2016,1.0,18.0,73.0,54.0
Bhutan,2017,1.0,18.0,71.0,52.0
Bhutan,2018,1.0,43.0,95.0,51.0
Bhutan,2019,1.0,43.0,99.0,55.0
Bhutan,2020,1.0,45.0,101.0,55.0
Bolivia (Plurin. State of),2004,1.0,70.0,150.0,79.0
Bolivia (Plurin. State of),2010,1.0,72.0,163.0,90.0
Bolivia (Plurin. State of),2016,3.0,104.0,231.0,124.0
Bolivia (Plurin. State of),2017,3.0,104.0,231.0,124.0
Bolivia (Plurin. State of),2018,3.0,104.0,236.0,129.0
Bolivia (Plurin. State of),2019,3.0,112.0,244.0,129.0
Bolivia (Plurin. State of),2020,3.0,162.0,296.0,131.0
"Bonaire, St. Eustatius & Saba",2016,11.0,3.0,56.0,42.0
"Bonaire, St. Eustatius & Saba",2017,11.0,3.0,56.0,42.0
"Bonaire, St. Eustatius & Saba",2018,11.0,3.0,56.0,42.0
"Bonaire, St. Eustatius & Saba",2019,11.0,3.0,58.0,44.0
"Bonaire, St. Eustatius & Saba",2020,11.0,6.0,67.0,50.0
Bosnia and Herzegovina,2004,10.0,1.0,40.0,29.0
Bosnia and Herzegovina,2010,22.0,1.0,67.0,44.0
Bosnia and Herzegovina,2016,36.0,1.0,88.0,51.0
Bosnia and Herzegovina,2017,39.0,1.0,91.0,51.0
Bosnia and Herzegovina,2018,42.0,3.0,95.0,50.0
Bosnia and Herzegovina,2019,42.0,6.0,98.0,50.0
Bosnia and Herzegovina,2020,43.0,6.0,104.0,55.0
Botswana,2004,0.0,0.0,15.0,15.0
Botswana,2010,0.0,0.0,18.0,18.0
Botswana,2016,0.0,2.0,26.0,24.0
Botswana,2017,0.0,2.0,28.0,26.0
Botswana,2018,0.0,2.0,30.0,28.0
Botswana,2019,0.0,3.0,33.0,30.0
Botswana,2020,0.0,3.0,33.0,30.0
Bouvet Island,2004,0.0,0.0,1.0,1.0
Bouvet Island,2010,0.0,0.0,2.0,2.0
Bouvet Island,2016,0.0,0.0,3.0,3.0
Bouvet Island,2017,0.0,0.0,3.0,3.0
Bouvet Island,2018,0.0,0.0,3.0,3.0
Bouvet Island,2019,0.0,0.0,3.0,3.0
Bouvet Island,2020,0.0,0.0,2.0,2.0
Brazil,2004,34.0,381.0,697.0,282.0
Brazil,2010,45.0,387.0,773.0,341.0
Brazil,2016,55.0,521.0,973.0,397.0
Brazil,2017,55.0,532.0,990.0,403.0
Brazil,2018,55.0,538.0,1000.0,407.0
Brazil,2019,64.0,582.0,1057.0,411.0
Brazil,2020,66.0,596.0,1078.0,416.0
British Indian Ocean Terr.,2004,0.0,1.0,7.0,6.0
British Indian Ocean Terr.,2010,65.0,1.0,76.0,10.0
British Indian Ocean Terr.,2016,69.0,1.0,84.0,14.0
British Indian Ocean Terr.,2017,69.0,1.0,85.0,15.0
British Indian Ocean Terr.,2018,69.0,1.0,85.0,15.0
British Indian Ocean Terr.,2019,69.0,1.0,88.0,18.0
British Indian Ocean Terr.,2020,69.0,1.0,91.0,21.0
British Virgin Islands,2004,0.0,10.0,30.0,20.0
British Virgin Islands,2010,10.0,10.0,43.0,23.0
British Virgin Islands,2016,10.0,10.0,61.0,41.0
British Virgin Islands,2017,10.0,10.0,67.0,47.0
British Virgin Islands,2018,10.0,20.0,78.0,48.0
British Virgin Islands,2019,10.0,20.0,82.0,52.0
British Virgin Islands,2020,10.0,23.0,88.0,55.0
Brunei Darussalam,2004,0.0,99.0,148.0,49.0
Brunei Darussalam,2010,1.0,99.0,170.0,70.0
Brunei Darussalam,2016,8.0,104.0,192.0,80.0
Brunei Darussalam,2017,8.0,104.0,193.0,81.0
Brunei Darussalam,2018,9.0,116.0,207.0,82.0
Brunei Darussalam,2019,12.0,131.0,236.0,93.0
Brunei Darussalam,2020,18.0,160.0,275.0,97.0
Bulgaria,2004,9.0,0.0,44.0,35.0
Bulgaria,2010,27.0,0.0,66.0,39.0
Bulgaria,2016,38.0,6.0,93.0,49.0
Bulgaria,2017,48.0,6.0,104.0,50.0
Bulgaria,2018,57.0,9.0,115.0,49.0
Bulgaria,2019,57.0,18.0,124.0,49.0
Bulgaria,2020,57.0,21.0,127.0,49.0
Burkina Faso,2004,0.0,2.0,11.0,9.0
Burkina Faso,2010,1.0,3.0,24.0,20.0
Burkina Faso,2016,1.0,3.0,31.0,27.0
Burkina Faso,2017,1.0,3.0,31.0,27.0
Burkina Faso,2018,1.0,3.0,30.0,26.0
Burkina Faso,2019,1.0,4.0,33.0,28.0
Burkina Faso,2020,1.0,5.0,36.0,30.0
Burundi,2004,4.0,2.0,28.0,22.0
Burundi,2010,7.0,2.0,52.0,43.0
Burundi,2016,7.0,8.0,59.0,44.0
Burundi,2017,7.0,8.0,61.0,46.0
Burundi,2018,7.0,89.0,142.0,46.0
Burundi,2019,6.0,110.0,162.0,46.0
Burundi,2020,6.0,134.0,188.0,48.0
Cabo Verde,2004,0.0,2.0,23.0,21.0
