Country,Year,"Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)"
Albania,2005,,52.5512,,36.1604,37.8189,39.7094
Albania,2010,,61.9777,,37.1777,38.64,39.9811
Albania,2017,,70.0232,,39.3948,39.8555,40.1705
Algeria,2005,,,,19.7532,18.3394,17.5383
Algeria,2010,,,,20.2706,18.0695,17.0116
Algeria,2017,,,,20.788,17.6875,16.4848
American Samoa,2005,,12.4581,,,,
American Samoa,2010,,12.5069,,,,
American Samoa,2017,,12.5751,,,,
Andorra,2005,,90.64,,50.5272,50.5272,50.5272
Andorra,2010,,90.64,,86.4503,86.4503,86.4503
Andorra,2017,,90.64,,100.0,100.0,100.0
Armenia,2005,,43.9389,,,47.9031,45.4563
Armenia,2010,,61.7069,,,48.1352,45.4793
Armenia,2017,,86.4764,,,48.2232,45.2622
Asia,2005,46.765,62.9474,86.0864,23.7234,29.8396,27.263
Asia,2010,50.4071,66.3929,86.1294,31.9778,32.7438,33.6895
Asia,2017,59.7995,72.5978,85.7943,45.9685,44.3531,42.6874
Australia,2005,,,98.3478,,65.092,
Australia,2010,,,98.65,,69.4869,
Australia,2017,,,98.8007,,75.6399,
Australia and New Zealand,2005,,,93.853,,61.9383,
Australia and New Zealand,2010,,,95.7497,,66.0518,
Australia and New Zealand,2017,,,96.544,,71.8635,
Austria,2005,,98.1285,,92.3014,96.8239,99.991
Austria,2010,,98.543,,92.3014,96.7062,99.9753
Austria,2017,,98.9062,,92.3014,96.7467,99.9534
Azerbaijan,2005,,55.9271,,,,75.4017
Azerbaijan,2010,,68.7006,,,,84.7537
Azerbaijan,2017,,73.5643,,,,92.206
Bahrain,2005,,98.9111,,,95.922,
Bahrain,2010,,98.9822,,,95.9896,
Bahrain,2017,,98.9833,,,96.0,
Bangladesh,2005,60.0224,55.8814,44.5761,18.566,,
Bangladesh,2010,60.6344,55.7482,44.5941,24.1198,,
Bangladesh,2017,61.4912,55.4412,44.6193,32.3394,,
